Epoch,Iter,Pattern,Error,Overlap,Distance
0,34,0,0.2114337496625863,1.0,0.04032562026375603
0,81,1,0.37836533077531453,0.890625,0.18945218629079585
0,125,2,0.3929544642909348,0.875,0.07819953311509018
1,185,0,0.6180509686962387,0.875,0.1990915767962257
1,233,1,0.351990175078672,0.875,0.21750369198526187
1,273,2,0.2969947504031784,0.875,0.16048423920763955
2,336,0,0.5029028532595811,0.875,0.2228795763714567
2,389,1,0.2672974762517822,0.875,0.2631379222486588
2,431,2,0.20963797155826694,0.875,0.24086667236070664
3,495,0,0.4062976466227933,0.875,0.2697880908868611
3,554,1,0.18272079110403674,0.84375,0.3072928166383234
3,588,2,0.13899558861739028,0.84375,0.3022400306502919
4,655,0,0.3055166582919187,0.84375,0.31437558725777776
4,716,1,0.1220247391786885,0.84375,0.3459562426891255
4,750,2,0.09917922279027268,0.84375,0.3455708288890666
5,811,0,0.23934520649535082,0.84375,0.3530068105096962
5,880,1,0.08211511829280276,0.84375,0.3772626486304961
5,915,2,0.0912040901766587,0.84375,0.3778423624489547
6,976,0,0.19038649992111922,0.84375,0.3840675051141462
6,1046,1,0.07762524859918214,0.828125,0.4048001001196062
6,1083,2,0.0701068282796485,0.828125,0.4049546883075489
7,1141,0,0.15848428248520807,0.828125,0.4117253041142399
7,1209,1,0.059502710789199796,0.828125,0.4277073752038478
7,1239,2,0.06175072649206895,0.828125,0.42807146717138966
8,1297,0,0.12327949265190756,0.828125,0.4340578935599702
8,1367,1,0.045768522511671926,0.828125,0.446167912995889
8,1403,2,0.05059150387808037,0.828125,0.44651450646947105
9,1455,0,0.09335881170318046,0.828125,0.45160814230018115
9,1528,1,0.03527874489681886,0.828125,0.46072350355085173
9,1564,2,0.03937481678840688,0.828125,0.46098509001943666
10,1613,0,0.0688031845142714,0.828125,0.46509581852481374
10,1683,1,0.026946971013235798,0.828125,0.471870174994174
10,1715,2,0.029490284540491716,0.828125,0.4720450649617307
11,1763,0,0.04978298721509553,0.828125,0.475218024497968
11,1830,1,0.020362230221865053,0.828125,0.4801907159843976
11,1864,2,0.021516321785064126,0.828125,0.48029740937718013
12,1909,0,0.03568929638423498,0.828125,0.48267486231374357
12,1974,1,0.015261270720131018,0.828125,0.48629687486541817
12,1998,2,0.015447175637839643,0.828125,0.48635852278129876
13,2039,0,0.025513984138332873,0.828125,0.48810568825329426
13,2101,1,0.011377297253763831,0.828125,0.4907333809680575
13,2132,2,0.011001587090376498,0.828125,0.4907667641259292
14,2172,0,0.018249502871271518,0.828125,0.4920363073795345
14,2235,1,0.008456851452335606,0.828125,0.4939404840459497
14,2263,2,0.007801995804579915,0.828125,0.4939566143010289
15,2305,0,0.013088217141150271,0.828125,0.4948744056264311
15,2371,1,0.006276831777490104,0.828125,0.4962560002135579
15,2394,2,0.0055329836269668526,0.828125,0.49626341379240124
16,2431,0,0.009415447508450083,0.828125,0.49692545790954173
16,2487,1,0.0046560180065250934,0.828125,0.497929299688623
16,2510,2,0.003986471953684538,0.828125,0.4979312542751711
17,2542,0,0.006801304721581881,0.828125,0.49840808169760537
17,2601,1,0.0034489977250335715,0.828125,0.4991401722628888
17,2624,2,0.0029169864139417015,0.828125,0.49913924966305356
18,2664,0,0.004928924287008679,0.828125,0.4994826638874213
18,2720,1,0.0025607598964493246,0.828125,0.5000179288142437
18,2743,2,0.0021397532877790483,0.828125,0.500016439141905
19,2778,0,0.0035861919087050663,0.828125,0.5002654116865045
19,2830,1,0.0018998006843376092,0.828125,0.5006567531770495
19,2861,2,0.0015690164648813033,0.828125,0.5006545816754319
20,2891,0,0.002612456083244907,0.828125,0.5008338020494626
20,2942,1,0.0014090386839933366,0.828125,0.5011213084589696
20,2964,2,0.00115248485639268,0.828125,0.5011189969507893
21,2994,0,0.0019096826161373165,0.828125,0.5012491914567403
21,3047,1,0.0010492792520289164,0.828125,0.5014613102533557
21,3061,2,0.0008495597045264416,0.828125,0.5014589734562271
22,3091,0,0.0013985716162920854,0.828125,0.5015528762239391
22,3143,1,0.0007821611707044936,0.828125,0.5017093554326835
22,3155,2,0.0006278804166139015,0.828125,0.501707299647149
23,3188,0,0.001031436072693331,0.828125,0.5017757922862504
23,3235,1,0.0005844749421461423,0.828125,0.5018925216681789
23,3248,2,0.0004652473472568136,0.828125,0.5018904739890181
24,3279,0,0.0007647594954405375,0.828125,0.501940219233893
24,3324,1,0.0004402170619324146,0.828125,0.5020282753554057
24,3336,2,0.00034760099393274513,0.828125,0.5020265887553458
25,3369,0,0.0005699686568506289,0.828125,0.5020622893441569
25,3413,1,0.00033132189757208467,0.828125,0.5021276343195309
25,3426,2,0.00025950824246042883,0.828125,0.5021262117075783
26,3452,0,0.00042057356250060327,0.828125,0.5021524196989009
26,3499,1,0.00025279756077504806,0.828125,0.5022023048932697
26,3511,2,0.00019662531460068632,0.828125,0.5022009056883638
27,3540,0,0.0003153108220216037,0.828125,0.5022196857858761
27,3585,1,0.00018955713854278307,0.828125,0.5022566689293549
27,3608,2,0.00014700174850880093,0.828125,0.5022554256303723
28,3637,0,0.0002386706075594749,0.828125,0.5022689501793187
28,3683,1,0.00014641990838631567,0.828125,0.5022976733767636
28,3695,2,0.00011173901454828259,0.828125,0.5022964424372613
29,3717,0,0.0001762556011659079,0.828125,0.5023063129589705
29,3753,1,0.00010788234496155449,0.828125,0.5023281045916049
29,3770,2,8.56098893515996e-05,0.828125,0.502327196707866
30,3792,0,0.00013599716826264587,0.828125,0.50233434179281
30,3830,1,8.404785364439985e-05,0.828125,0.5023509489655061
30,3849,2,6.439592570739004e-05,0.828125,0.502350189366729
31,3876,0,0.00010478041939821803,0.828125,0.5023553425859029
31,3910,1,6.350072047997818e-05,0.828125,0.5023688357260604
31,3920,2,4.9118284432148156e-05,0.828125,0.5023682595077326
32,3948,0,8.128491322850346e-05,0.828125,0.5023720288331942
32,3981,1,4.924542611886472e-05,0.828125,0.5023826958387463
32,3992,2,3.79208579309141e-05,0.828125,0.5023823235578044
33,4018,0,6.393561443959984e-05,0.828125,0.5023852773739548
33,4048,1,3.795304955654332e-05,0.828125,0.5023932898291729
33,4062,2,2.945674957075083e-05,0.828125,0.5023929382096732
34,4084,0,4.7983204192864804e-05,0.828125,0.5023947878811386
34,4114,1,3.0146708622512715e-05,0.828125,0.5024013212094139
34,4117,2,2.3978443829113987e-05,0.828125,0.5024012101065046
35,4136,0,3.646837381158288e-05,0.828125,0.5024027337283286
35,4168,1,2.4680009606490775e-05,0.828125,0.5024076131692188
35,4174,2,1.8917645876138015e-05,0.828125,0.5024074910095809
36,4192,0,2.802118347100191e-05,0.828125,0.5024084895150704
36,4219,1,1.8394334868078827e-05,0.828125,0.5024125510177968
36,4223,2,1.4772923061013305e-05,0.828125,0.5024124064539872
37,4234,0,2.3096465916544217e-05,0.828125,0.5024131269949063
37,4265,1,1.7260252709854383e-05,0.828125,0.5024161879531285
37,4267,2,1.2122218882085339e-05,0.828125,0.5024160648952953
38,4286,0,2.0571040193415684e-05,0.828125,0.5024166195288167
38,4313,1,1.2007908473824916e-05,0.828125,0.5024193932150333
38,4319,2,9.446054696920403e-06,0.828125,0.502419270633996
39,4336,0,1.4107655860876106e-05,0.828125,0.5024196500313712
39,4360,1,8.845488883376503e-06,0.828125,0.5024216390095526
39,4362,2,7.674003811959381e-06,0.828125,0.5024216039033577
40,4382,0,1.3839587302644303e-05,0.828125,0.5024218633171631
40,4403,1,7.697080637964192e-06,0.828125,0.5024235395931262
40,4407,2,5.908495854550222e-06,0.828125,0.5024235138595146
41,4424,0,1.0966892492245555e-05,0.828125,0.5024236158762674
41,4444,1,5.5202148765901815e-06,0.828125,0.5024250076445819
41,4449,2,5.39057228284184e-06,0.828125,0.50242501184175
42,4464,0,9.143390006674148e-06,0.828125,0.5024250759171055
42,4485,1,5.113801739839946e-06,0.828125,0.5024262112681943
42,4493,2,4.235830629139838e-06,0.828125,0.5024262182182397
43,4508,0,8.64200690193467e-06,0.828125,0.5024262878786345
43,4524,1,3.7695844177941234e-06,0.828125,0.5024271245089152
43,4524,2,3.7695844177941234e-06,0.828125,0.5024271245089152
44,4529,0,5.321494855142875e-06,0.828125,0.5024271539509976
44,4537,1,3.735628091158902e-06,0.828125,0.5024275258614066
44,4538,2,3.7331432761612896e-06,0.828125,0.5024275386950734
45,4542,0,3.1057581758199753e-06,0.828125,0.5024275459797944
45,4555,1,3.0171167833134398e-06,0.828125,0.502427941721209
45,4555,2,3.0171167833134398e-06,0.828125,0.502427941721209
46,4565,0,5.307586795210544e-06,0.828125,0.5024279607925726
46,4577,1,3.164104861322679e-06,0.828125,0.5024285132388148
46,4577,2,3.164104861322679e-06,0.828125,0.5024285132388148
47,4581,0,2.561640195813422e-06,0.828125,0.5024285376138699
47,4595,1,4.085483411480641e-06,0.828125,0.5024288525356824
47,4609,2,2.0235095053603776e-06,0.828125,0.5024289241937796
48,4619,0,3.485170106904928e-06,0.828125,0.5024289678208217
48,4628,1,2.359877977749729e-06,0.828125,0.5024291814223327
48,4635,2,1.966660891517505e-06,0.828125,0.5024292045732425
49,4638,0,1.5317322662709352e-06,0.828125,0.5024292261428314
49,4642,1,2.483972916287029e-06,0.828125,0.5024293113841961
49,4645,2,2.235450700041592e-06,0.828125,0.5024293367379634
50,4646,0,1.416004408783711e-06,0.828125,0.5024293391018897
50,4647,1,1.774391032982543e-06,0.828125,0.5024293650248792
50,4647,2,1.774391032982543e-06,0.828125,0.5024293650248792
51,4650,0,2.676119610222532e-06,0.828125,0.5024293589465364
51,4662,1,1.8414824166812794e-06,0.828125,0.5024295341703724
51,4662,2,1.8414824166812794e-06,0.828125,0.5024295341703724
52,4668,0,2.828889098098039e-06,0.828125,0.5024295432489521
52,4677,1,3.663489443851715e-06,0.828125,0.5024297197152764
52,4682,2,2.0065063100757967e-06,0.828125,0.5024298078962045
53,4690,0,1.6702486179271461e-06,0.828125,0.5024297986493268
53,4692,1,2.7394411910197693e-07,0.828125,0.502429837010184
