Iteration,0,1,2
34,8.507183315950068e-07,0.48084843806066063,0.15345196020873703
81,0.6129789888893101,2.6811136104931897e-07,0.5221167353252755
125,0.21396081763655392,0.9649016605652632,9.146710244120425e-07
185,4.5797653046018113e-07,1.5213982747036858,0.3327541734085007
233,0.5815728488641227,7.090989284877996e-07,0.4743969672729474
273,0.34105906729525143,0.5499243977761552,7.861381350751419e-07
336,9.869350831690563e-07,1.1269952392630698,0.3817123335806063
389,0.48416384788702815,1.5212053380215875e-07,0.3177284287477854
431,0.34449040119577534,0.2844233161952095,1.972838133700984e-07
495,1.497595122087522e-07,0.8284118718884105,0.3904809182204485
554,0.3782081956675779,2.6708759377796476e-07,0.1699539105569292
588,0.3236481459707198,0.09333842324237228,1.9663906388071067e-07
655,3.928719284651335e-07,0.550847243880829,0.3657023381230019
716,0.2938031462497833,9.768638702823736e-07,0.07227009442240998
750,0.2856736903758483,0.011863674913914329,3.030810739766624e-07
811,4.244870553995977e-07,0.3878202946290865,0.33021490036991163
880,0.2322341647508008,6.303506015099902e-07,0.014110559776980275
915,0.24995092846906647,0.0236609453477014,3.9671318257344015e-07
976,7.097701324529862e-07,0.28114511454294255,0.2900136754503145
1046,0.20384703553217937,3.8556430174091137e-07,0.02902832470104662
1083,0.2066330753583653,0.0036870502018750777,3.5927870364614233e-07
1141,2.794840036064618e-07,0.2346413639399677,0.24081120403161302
1209,0.16473196357419964,7.589688711608664e-07,0.013775409824562913
1239,0.17374465422682608,0.011507450834779316,7.44146006620964e-08
1297,3.556646892732665e-07,0.17290588467948453,0.19693223761157133
1367,0.13081630753624895,9.469184079662387e-07,0.006488313080375049
1403,0.14008285559427083,0.01169126403509466,3.9200490111244024e-07
1455,2.230853036326418e-07,0.12653770179507182,0.15353851022915374
1528,0.10158806786207145,7.274802298487894e-07,0.0042474393481505245
1564,0.10889561662011574,0.009228090715683361,7.430294135515161e-07
1613,1.5759178756874471e-07,0.09148341933992242,0.11492597661111463
1683,0.07707003705327153,2.8306958889995334e-07,0.0037705929168487147
1715,0.0820956064219211,0.0063750786192917205,1.685802708354573e-07
1763,9.753421031468282e-07,0.06562890391865338,0.08371908238454648
1830,0.057412613309062936,9.123646052848334e-07,0.0036731649919259056
1864,0.060545661303825764,0.004002967024087661,3.3702729257750263e-07
1909,2.5195466947185747e-08,0.047000095725931904,0.06006776823130621
1974,0.04226176918267381,9.700383395564624e-07,0.003521072939375853
1998,0.04404671449313676,0.0022942646780056493,5.477423847825881e-07
2039,4.5450466101884756e-07,0.033718929560921984,0.04282256834939039
2101,0.030900336291401494,2.2290280940106075e-07,0.0032313325670781613
2132,0.031817821816455115,0.0011865706937650474,3.6876091759991174e-07
2172,3.9266728893567e-07,0.024273736185413074,0.030474379761131286
2235,0.022525533581064464,8.507221714380857e-07,0.0028441700537819702
2263,0.022900892215922453,0.0005049619039355609,1.3329387393558444e-07
2305,8.270793480182511e-07,0.017552526049808795,0.021711298294298773
2371,0.01640591165433548,7.249369543921148e-07,0.0024238587411821843
2394,0.016483278831422296,0.00011502140156524744,6.506479108047261e-07
2431,6.697924664910457e-07,0.012737166576157085,0.015508506156721209
2487,0.011955653673841857,4.603061706090971e-07,0.0020119400395817804
2510,0.011869698561895858,8.922491009312194e-05,4.923890701034673e-07
2542,3.901800851470594e-07,0.00928087600137555,0.011122647983271101
