CellID,Target,Initial,Final
11,0.12,0.1180548090477509,0.11955758971828856
157,0.28,0.29803064198005935,0.300886872008048
494,0.2,0.1754657125018606,0.18839877362423407
166,0.13,0.11438057323381723,0.10711843260427467
378,0.2,0.18582053643984175,0.20590978352261957
