,Final_Stress,Final_s0
0,0.2949536658749614,4.991172135539443
1,0.31354689436793937,4.161162798120905
2,0.4103260445157435,4.655876791958811
3,0.3689437119632588,4.771002422745294
4,0.6042346429536689,4.590346408423365
5,0.49831141911025734,4.5569870313879335
6,0.1971727143603763,4.743486373234944
7,0.4334633151094396,4.777869883783925
8,0.20027276916155223,4.342493735043083
9,0.21475160138406713,4.987286097218275
10,0.38405460651291223,4.662966578970753
11,0.5371604740699123,4.586347062809164
12,0.3069538138192609,4.871681734635249
13,0.23295016139108116,5.0
14,0.4354953367026808,4.680096781095475
15,0.45319539573601064,4.784143414245383
16,0.6108236634927708,4.648766438319907
17,0.45655096879728374,4.633553864753148
18,0.4275072037237071,4.794166746634536
19,0.4284463082837022,4.612264800226038
20,0.6294155002519135,4.58714023050558
21,0.3879755850258735,4.621376685109686
22,0.4888344094193098,4.653569762116847
23,0.4086676685301329,3.7453665411103376
24,0.20075628906511778,4.583475723854891
25,0.3526833669451954,4.655918820623199
26,0.33245520736273004,4.677940727445913
27,0.4750049934646934,4.586612643909227
28,0.4572682804538122,4.796053142521011
29,0.43135305146378977,4.76960625202814
30,0.2521709355459767,5.107640332317107
31,0.6105908341144679,4.849249455053455
32,0.411866780973976,4.907822523921963
33,0.3176063206243631,4.959978995378984
34,0.891947845637088,2.259668146472258
35,0.177856941430365,4.675053827018489
36,0.43769525860723313,4.605045424748546
37,0.579063133167959,4.483542990629497
38,0.46645368430086354,5.104240587130224
39,0.45479369896506494,4.666911028959229
40,0.79849510731828,4.7543493330852105
41,0.4825319445807552,4.424571510181554
42,0.3301597091124071,4.506033490515033
43,0.4408761235438021,4.925214034753669
44,0.3741767402859155,4.745758072777964
45,0.488095836378295,4.54703935351465
46,0.6724429700685226,4.53616223203996
47,0.46724685514086817,4.732208249839864
48,0.4829448280777666,3.428552616606675
49,0.5552531242262231,4.957783844135761
50,0.3520864549371776,4.4854103056586325
51,0.2712636166222979,4.653424595169593
52,0.3639774874465913,4.41968886498624
53,0.3390231930732246,4.575408895470323
54,0.48472019152160994,4.621784523317025
55,0.7584682867199657,3.163766464120852
56,0.35469805919471353,4.574670409737269
57,0.41453930853849386,4.6104861894339955
58,0.4243429877104097,4.38624129767387
59,0.5531045079876113,4.99882464845621
60,0.46607072514416714,4.682337007430943
61,0.6461200757975196,4.554168624717656
62,0.31289187190869816,4.790958063277602
63,0.373428158476107,4.80291894709298
64,0.3779802769500775,4.532612219013172
65,0.36561214097970884,4.323882468273466
66,0.2942873342426182,4.332546569138422
67,0.2793046016490508,4.6444628991300085
68,0.5805552877432256,4.546798745121086
69,0.520008694577879,4.656573731733644
70,0.3420365985013021,4.220108026760192
71,0.315338544901671,4.891826353137816
72,0.5227074365045463,4.820313576085553
73,0.5378036188174611,4.461674289680779
74,0.31955942285036,4.766071815869131
75,0.47814807353838695,4.68985553051132
