,Initial_Stress,Final_Stress,Initial_s0,Final_s0
0,0.1713476453907501,0.1619893129053689,5.0,5.022120836198383
1,0.19159609837789948,0.1810079233067361,5.0,5.021577708403706
2,0.2099026347036934,0.19885200803200176,5.0,5.02360485867297
3,0.2890411384739595,0.2731140899334068,5.0,5.02122445911553
4,0.1854699976478582,0.17531571971724147,5.0,5.0196088899930835
5,0.1613109467441678,0.1524844207642415,5.0,5.019474043646266
6,0.3305914047404974,0.3122348029601165,5.0,5.022361281020338
7,0.2137608066239518,0.20201861277242572,5.0,5.02064913520889
8,0.19137507914639929,0.1809061311221749,5.0,5.020435248023398
9,0.26325060052463245,0.24875099864075878,5.0,5.019858935531314
10,0.2756596955371591,0.26054625096865736,5.0,5.019695899843315
11,0.2718772044619888,0.25687784375787337,5.0,5.020133666652349
12,0.3224691011529941,0.30508955925495995,5.0,5.018414397035942
13,0.19335296082491404,0.18283689387855007,5.0,5.018548089333663
14,0.16923261541888812,0.15969214685505606,5.0,5.023295755099744
15,0.2953375177208821,0.2791548336047971,5.0,5.020344632232252
16,0.23882136878092664,0.22556952295848887,5.0,5.022679496720777
17,0.1735547009599998,0.16426456126777966,5.0,5.016576805474839
18,0.2075323475268711,0.1961393301574852,5.0,5.018981663691404
19,0.21993501989802167,0.20776698647137182,5.0,5.020692512051035
20,0.17885338146977148,0.16923363037253203,5.0,5.017428855167658
21,0.24624602086479253,0.23269273285873515,5.0,5.0227703439348925
22,0.20720156210295415,0.1957036836051067,5.0,5.022824675178059
23,0.31806308443046083,0.3005310933166583,5.0,5.02193611648992
24,0.2918215185058157,0.27636397434955295,5.0,5.019155852901722
25,0.19257066085670416,0.18186669109641684,5.0,5.0217713691256805
26,0.28224226342194325,0.26646586090567914,5.0,5.024574513327842
27,0.32128325072734754,0.3044897545911147,5.0,5.021636966833096
28,0.15218213392174418,0.14385829233198444,5.0,5.020058432976109
29,0.30039805371922235,0.28520458909182933,5.0,5.0
30,0.4059473670020832,0.38374026392613225,5.0,5.02121485098904
31,0.17604963423896303,0.16644108886568598,5.0,5.019497759147216
32,0.2562995565838768,0.2421819381541075,5.0,5.020965229990519
33,0.21545418476253175,0.20350662496136773,5.0,5.020502019850408
34,0.21771434060690642,0.20576769659995908,5.0,5.02142834636615
35,0.282630709578527,0.26706923163114515,5.0,5.021351871063073
36,0.2415505484357634,0.2282089341248581,5.0,5.021543111953495
37,0.3445328121877016,0.32522508576760356,5.0,5.022370872327793
38,0.3583655544266018,0.3388455508000656,5.0,5.019946773797486
39,0.1647742089074853,0.15570155780874306,5.0,5.02012987901197
40,0.24066952697046573,0.2274202841870665,5.0,5.020150735685629
41,0.24826812464843218,0.2344062022895923,5.0,5.022726243404838
42,0.17740234585001424,0.1674426899810979,5.0,5.0223679340659455
43,0.26940766717684883,0.25482896347385453,5.0,5.017605359372634
44,0.24738297644733187,0.23350305113734393,5.0,5.023037023771444
45,0.12055810151859503,0.11366734509556897,5.0,5.0199878717034085
46,0.11207967168372979,0.10582089508898007,5.0,5.024219341222507
47,0.1540410697572927,0.14570843821303825,5.0,5.019340728830839
48,0.1651501906344064,0.1559998399916629,5.0,5.0191320113177085
49,0.22955793634988364,0.21683930547502794,5.0,5.02309556877834
50,0.19214902051411897,0.1814166350114379,5.0,5.0229445579426635
51,0.23981452039998552,0.2263978155129578,5.0,5.023834423333033
52,0.18289427743748976,0.17263318008612538,5.0,5.0220321637554655
53,0.32953724571258514,0.3113706094152273,5.0,5.021807838326087
54,0.2439251151128763,0.23057600596818273,5.0,5.020887823397633
55,0.26951720801726253,0.25456086163662417,5.0,5.024042363891725
56,0.20006129589683086,0.18903593374287397,5.0,5.020541498306761
57,0.2012643465363979,0.19014345632586727,5.0,5.0214974368467225
58,0.40462406550728414,0.38278519551722356,5.0,5.018996638278077
59,0.21142143117581558,0.19977072369545734,5.0,5.021229714452451
60,0.1051254455120012,0.09925433458589805,5.0,5.020422112352403
61,0.22935368871972028,0.21660076624711122,5.0,5.020966748145632
62,0.27017672835380124,0.2552566117440278,5.0,5.0202699734663
63,0.29182588656236774,0.27588665496486886,5.0,5.021244380176517
64,0.2451135153238173,0.23157271357804365,5.0,5.020613024515637
65,0.16664228744847653,0.15745562526509627,5.0,5.020415697410625
66,0.20754887332388128,0.19610407136075847,5.0,5.019779018673161
67,0.31121100674461966,0.2939251857919589,5.0,5.022003678184577
68,0.35237864260715734,0.33292842083386565,5.0,5.019845255653417
69,0.39708438912862043,0.3751560437179391,5.0,5.02357730364305
70,0.3167780151838877,0.29939085517671016,5.0,5.022187246239183
71,0.2691080285507532,0.2544173285222917,5.0,5.018515860879207
72,0.16051720196600305,0.15159971268775085,5.0,5.020945901571778
73,0.2797934443741612,0.2644715874132564,5.0,5.024975540211107
74,0.24352550269516704,0.23038377583441294,5.0,5.019268552072935
75,0.30368421790487776,0.28689275045538487,5.0,5.022511393893296
76,0.14025835906768225,0.13237541348139192,5.0,5.024020429595932
77,0.19803830248707177,0.18742484227396505,5.0,5.023667577544364
78,0.18320566654464376,0.1730918339319083,5.0,5.022065269876608
79,0.33088399306997873,0.3125274981244113,5.0,5.0225529624368725
80,0.18452836019937968,0.17445937404211298,5.0,5.018773376279695
81,0.17790271293053128,0.1681764990201573,5.0,5.019483674108978
82,0.23114624563928854,0.21845573436907184,5.0,5.019600999355811
83,0.3526566209810176,0.33291032652459096,5.0,5.025798986270491
84,0.1944002727164975,0.18384227088611538,5.0,5.019027065891004
85,0.17767017979081312,0.16816578625301104,5.0,5.017924359246004
86,0.1178409981640105,0.1111763919654436,5.0,5.023186085800662
87,0.2961739714698568,0.28005706310215883,5.0,5.024266641510229
88,0.19058228706193425,0.18004697042475226,5.0,5.020862103659534
89,0.2531683060866916,0.23907409357759635,5.0,5.0219228104387525
90,0.21790940042069118,0.2059851968001889,5.0,5.020540109037421
91,0.24995245484765238,0.23616554808310775,5.0,5.022218728494652
92,0.28929641504620096,0.2734026876960203,5.0,5.023062827337608
93,0.20351967061818854,0.1920828964205905,5.0,5.021597025457565
94,0.2944491649599976,0.2781975848116822,5.0,5.02327714620189
95,0.2530778021071687,0.23985895483416786,5.0,5.018115497536835
96,0.23088927587193608,0.2180800474408977,5.0,5.020407280977359
97,0.20556501772341518,0.19419052414671079,5.0,5.021053126546162
98,0.1882362693592523,0.1781912156928338,5.0,5.021839729565114
99,0.2585026564053643,0.2441301311939752,5.0,5.021094779408015
100,0.13322335251981432,0.12580640778859253,5.0,5.023111019978428
101,0.4413274782956036,0.41712943638027977,5.0,5.022274784582912
102,0.24723005388959418,0.23334199260813482,5.0,5.023484812298893
103,0.29853102772068807,0.2821804358976654,5.0,5.020048601341243
104,0.10924194896478201,0.10302068618568816,5.0,5.022895313596321
105,0.27794922194096694,0.2625704421205137,5.0,5.022257099210847
106,0.23135055590166442,0.21884555967450892,5.0,5.022593141855198
