,mean,sem
0,0.6497595530633918,0.008993891231478226
1,0.641955249464471,0.00971915952726297
2,0.6346314124728063,0.009900496694615724
3,0.6289246984957746,0.01007085650132874
4,0.6180283892721797,0.011364074861089592
5,0.6119600791553104,0.011594804123463741
6,0.6041145764376357,0.011752692572634576
7,0.597442579772058,0.011818697219230795
8,0.5907122034706427,0.012027913284496953
9,0.5836496642624603,0.012256480610481263
10,0.5755735816988583,0.012494530689129504
11,0.5680725551971488,0.012690376454015212
12,0.5596182686949738,0.012964036145214682
13,0.5541007649897669,0.013455819843611017
14,0.5452071646123757,0.013826128767148874
15,0.53234196442943,0.014177771506070223
16,0.5229955830277069,0.014524607938677308
17,0.5133403010062285,0.014853155024251198
18,0.5040331501531155,0.015590278309837868
19,0.4881408205265761,0.017793051612264618
20,0.47797564582127444,0.018248728226207985
21,0.4639996771303832,0.018495477091766886
22,0.4501981091763117,0.018912618448671134
23,0.433639260350806,0.019161180960433413
24,0.42085837887450367,0.01946693148967002
25,0.4075801202435709,0.01977696657036714
26,0.3942562484009959,0.019958503138207375
27,0.3818789495997027,0.020680758608436104
28,0.3696432467272603,0.02096553049042777
29,0.35401156836450437,0.02127315211002312
30,0.33823796542993534,0.021542623039847067
31,0.3213758297643568,0.021510254800046605
32,0.30037757007061344,0.021373429387086047
33,0.28323238158449177,0.02127973350971786
34,0.26527122398216335,0.021243338368262813
35,0.2386973772055584,0.022394072375629532
36,0.21862928280936267,0.022080732032913875
37,0.19711373260275544,0.021378236098891053
38,0.18208636106582918,0.021611770034849438
39,0.16910667022145445,0.020892776923134466
40,0.15352958417707369,0.020280337204234403
41,0.1364788318526429,0.019197487663245298
42,0.11782663588142733,0.018657738105036435
43,0.09999874170013888,0.018050941873328355
44,0.08610995817149275,0.015329088512895429
45,0.07464615973903392,0.015023280720724421
46,0.06516214763438231,0.014479774174177638
47,0.06750193710299746,0.01687662708942792
48,0.06112023699427421,0.016729739522064104
49,0.0725270395604981,0.02478748430416152
50,0.06944347089123934,0.026306726164225684
51,0.07098689546166562,0.026635582182515778
52,0.06384970331817238,0.023801942188676994
53,0.06287520619135374,0.025655123071736306
54,0.07079752172584709,0.031634401531320425
55,0.061600067254012465,0.02537445882471785
56,0.06512000747482509,0.02651339307760241
57,0.0673575094279223,0.028678791942941557
58,0.06603957951187688,0.03095785929839798
59,0.072961403753453,0.031108650614894016
60,0.08387598699420108,0.03832933293350512
61,0.092159293025322,0.042984591238397325
62,0.09984757430256602,0.04730018831636029
63,0.12364102547337817,0.05667971739772366
64,0.13255584183961788,0.051703648217451076
65,0.10513260166717213,0.04561283746026604
66,0.11753392288448092,0.04375781502880776
67,0.13580448206870627,0.05512074780049141
68,0.11341918085439158,0.04901320948110883
69,0.11055847863082628,0.046585008079955144
70,0.11221209470270041,0.046731765104685456
71,0.11025474462844889,0.04575898551785099
72,0.11627289752437131,0.0487948852919878
73,0.11286193827875568,0.047014241563757414
74,0.11198588846231994,0.046877745100597036
75,0.1082505949381232,0.044942306547981606
76,0.10650007617861312,0.044180950062286874
77,0.09600567600725166,0.04098993567387485
78,0.0915179541344719,0.052919887517263293
79,0.09479696162531268,0.05414399053028833
80,0.09900113292531901,0.056055921194962936
81,0.0601049450534834,0.05773259639049547
82,0.063253854320075,0.06095327048543872
