,mean,sem
0,0.16185644849597944,0.007223150576691398
1,0.15756886620637905,0.008929306137138916
2,0.1522396923164474,0.009164721355861034
3,0.14846538459181421,0.009001002974973183
4,0.14739553500305705,0.008982926137262802
5,0.14601612796407562,0.008857057659007333
6,0.14565886972584088,0.008862641580666436
7,0.14593632954173483,0.008910097016665496
8,0.14555453287101328,0.008942954650116899
9,0.14532082983078076,0.008958450493013612
10,0.14419726650405268,0.008907497039523812
11,0.14656221640081737,0.009225926992756634
12,0.15043158459324132,0.009736912830147734
13,0.15033819402101126,0.009792686263264957
14,0.1514782348988311,0.009858114111000281
15,0.15257239016810656,0.010406365444515828
16,0.15219507194378562,0.010328550205538663
17,0.1512178428429811,0.010324290773421582
18,0.15189526643289802,0.010218316845318947
19,0.15093753564709741,0.010038036116824424
20,0.14946593108800454,0.010199857650353627
21,0.14862544288990334,0.01023309739953737
22,0.1495313260757098,0.0101748147200299
23,0.14297683393857336,0.008757453568007698
24,0.14158293252008602,0.008748563984900799
25,0.1407645292427772,0.00875979907971374
26,0.1385467568332952,0.00882800982001772
27,0.13805098025463125,0.0088604179148308
28,0.13658679626051437,0.008951439932107418
29,0.1380299403827909,0.009072209383575796
30,0.14112679962406013,0.010690944770164598
31,0.14039676504503917,0.010684838091423158
32,0.13915304124854605,0.01065371675497749
33,0.13891861204185188,0.010705223315568006
34,0.1388076708523428,0.010856605133025752
35,0.1378093585046758,0.010601956195669147
36,0.13679846712263963,0.010624394967211084
37,0.1369488844486165,0.010531888826775837
38,0.1372660869282716,0.010875631207506327
39,0.13736597351786844,0.011434935446557886
40,0.13715725341704552,0.011429531194929973
41,0.1369915568402696,0.01143781904868386
42,0.13705408584491147,0.011451582146254965
43,0.13648809845055468,0.01109735727442031
44,0.1351405685043385,0.010760815191852603
45,0.13668717058634594,0.011101077364960178
46,0.13499479133417697,0.011255591119301916
47,0.1344503025353879,0.011444179932535934
48,0.13383833137603848,0.011474476629934147
49,0.1374840106412587,0.01236804700623431
50,0.13647545807352612,0.012435664248014925
51,0.13931400261706048,0.012960176646046222
52,0.14434296466845697,0.013792566696866808
53,0.14216210536411447,0.013874937049823254
54,0.14609056671033868,0.01601347571154407
55,0.14670697773488822,0.01625597103432321
56,0.14732297682599682,0.016466995088143036
57,0.14385353655283686,0.016137467992176417
58,0.1437404180210973,0.016876140916279498
59,0.14425587771377546,0.017338493079898848
60,0.14771886537721113,0.018122839389379915
61,0.15065372668686622,0.0189013674759529
62,0.147872161903242,0.01973069054544422
63,0.14740275825926322,0.02071835011359678
64,0.14662333146831016,0.020629482148149633
65,0.14761396955651637,0.02199280300546378
66,0.1508062282847164,0.024724925450914394
67,0.1478744610498143,0.027347300569042846
68,0.1429355379111554,0.02637855605232206
69,0.14061960877056207,0.02615861715928589
70,0.13992288605140973,0.026017600830268352
71,0.13924060647818984,0.025737794396891615
72,0.13873117782149177,0.025614686626471376
73,0.1343772193893827,0.03166912429835739
74,0.13912501271887376,0.034389662907297704
75,0.1461253481412482,0.03491476634918884
76,0.14488774691929193,0.03410506329840552
77,0.1555220697143159,0.03475358682687358
78,0.16052822309803486,0.0369673051023437
79,0.16058371536258834,0.03721757947378639
80,0.17520138274686683,0.037741080734672326
81,0.16626853828691204,0.04341132942650445
82,0.16835010091338892,0.04890786582165602
83,0.14514723928008386,0.049479390619481964
84,0.16133938058899952,0.05488290249511417
85,0.16175114017339012,0.05435735109391459
86,0.11127408843400022,0.02230671007697586
87,0.11166467927304102,0.02238491584626548
88,0.11193641505163172,0.022427293602566064
89,0.1132236019592481,0.027983152181916323
90,0.11033926123101334,0.028912430868789425
91,0.11096112887483396,0.02901961534066058
92,0.12761148310964648,0.03260157590945193
93,0.12807221470814825,0.03254522009181834
94,0.12850477402849889,0.03252320103279778
95,0.12890517023050033,0.032530771675330576
